record_id,theme,summary,source,opportunity_ids,reviewed,notes
case_01,trust,"Amazon A-to-z Guarantee: Provided explicit coverage for authentic products and seamless third-party merchant refunds, significantly lowering customer risk when purchasing from unknown sellers.",Amazon Public Case Study (2023),opp_quality_assurance;opp_support_refund,true,Company: Amazon | Feature: A-to-z Guarantee | Category: General E-Commerce | Problem: Merchant distrust | Objective: Risk reduction.
case_02,trust,"Instacart 100% Freshness Guarantee: Introduced direct shopper messaging and instant refund/item replacement for unsatisfactory produce or perishables.",Instacart Public Product Brief (2024),opp_freshness_guarantee;opp_support_refund,true,Company: Instacart | Feature: Freshness Guarantee | Category: Grocery & Produce | Problem: Spoiled produce | Objective: Trust building.
case_03,habit,"Walmart In-Home & Store Substitution Approval: Allowed users to select exact substitution preferences before delivery, reducing order friction for missing grocery items.",Walmart Retail Operations Report (2024),opp_fulfillment_control,true,Company: Walmart | Feature: Item Substitution Controls | Category: Online Grocery | Problem: Unwanted item swaps | Objective: Fulfillment control.
case_04,trial,"Target Circle 360 & RedCard Same-Day Delivery: Combined loyalty incentives with free trial periods for new grocery and household essential categories.",Target Investor Relations (2024),opp_category_onboarding,true,Company: Target | Feature: Circle 360 | Category: Multi-category Delivery | Problem: High delivery fee barrier | Objective: Category trial.
case_05,habit,"Chewy Autoship Program: Enabled automated recurring shipments with extra savings for pet essentials, cementing customer routine and locking in repeat purchases.",Chewy Annual Report (2023),opp_category_onboarding;opp_fulfillment_control,true,Company: Chewy | Feature: Autoship | Category: Pet Supplies | Problem: Reorder friction | Objective: Habit formation.
case_06,trust,"Sephora Beauty Insider & Virtual Try-On / Authenticity Cues: Built customer confidence in high-margin skincare and cosmetics through verified batch origins and ingredient details.",Sephora Digital Strategy Case Study (2024),opp_quality_assurance,true,Company: Sephora | Feature: Authenticity & Ingredient Badges | Category: Beauty & Cosmetics | Problem: Fake/counterfeit risk | Objective: Trust signals.
case_07,trust,"Nykaa Verified Authenticity Guarantee: Prominently displayed '100% Authentic Product' badges and direct brand supply chain assurances on all high-end cosmetics.",Nykaa Annual Report (2024),opp_quality_assurance,true,Company: Nykaa | Feature: Authenticity Certification | Category: Personal Care | Problem: Counterfeit product fear | Objective: Risk reduction.
case_08,repeat_purchase,"Blinkit Instant Refund to Wallet: Implemented automated photo-backed 2-minute refunds for damaged or missing fresh items, reducing support ticket turnaround.",Blinkit Public Engineering & Product Blog (2024),opp_support_refund;opp_freshness_guarantee,true,Company: Blinkit | Feature: Instant Wallet Refund | Category: Quick Commerce Grocery | Problem: Support delay | Objective: Resolution speed.
case_09,trial,"Swiggy Instamart Live Substitution & Quality Badge: Introduced real-time store-partner confirmation and fresh-stock badges for quick-commerce orders.",Swiggy Product Disclosure (2024),opp_fulfillment_control;opp_freshness_guarantee,true,Company: Instamart | Feature: Real-time Substitution | Category: Quick Commerce Grocery | Problem: Missing inventory | Objective: Choice control.
case_10,trust,"BigBasket Quality Guarantee & 100% Return Policy: Offered doorstep inspection and instant returns at delivery time for fruits and vegetables.",BigBasket Operations Case Study (2023),opp_freshness_guarantee;opp_quality_assurance,true,Company: BigBasket | Feature: Doorstep Inspection | Category: Fresh Produce | Problem: Quality uncertainty | Objective: Trust formation.
case_11,trial,"Amazon Pantry Category Bundles: Encouraged customers to add non-perishable pantry items alongside standard orders through threshold progress indicators.",Amazon Retail UX Study (2023),opp_category_onboarding,true,Company: Amazon | Feature: Pantry Threshold Bar | Category: Packaged Goods | Problem: Low basket size | Objective: Category trial.
case_12,social_proof,"Sephora Beauty Community Reviews & Photos: Allowed customers to filter reviews by skin tone and age group, providing relevant social proof for cosmetics.",Sephora Product Strategy (2024),opp_quality_assurance,true,Company: Sephora | Feature: Filtered UGC Reviews | Category: Beauty | Problem: Suitability uncertainty | Objective: Social proof.
case_13,abandonment,"Walmart Self-Service Return Portal: Simplified online return initiation with QR codes for drop-off without needing customer support interaction.",Walmart UX Case Study (2024),opp_support_refund,true,Company: Walmart | Feature: Self-Service Returns | Category: General Retail | Problem: Complicated returns | Objective: Effort reduction.
case_14,habit,"Instacart Reorder Hub & Express Basket: Streamlined repurchasing of weekly staples in one click from past order history.",Instacart Product Release (2024),opp_fulfillment_control,true,Company: Instacart | Feature: Reorder Hub | Category: Weekly Grocery | Problem: Repetitive search | Objective: Habit reinforcement.
case_15,risk,"Chewy Pharmacy Prescription Verification: Created a dedicated customer workflow verifying pet prescriptions with veterinarians before shipping sensitive products.",Chewy Public Health Filing (2024),opp_quality_assurance,true,Company: Chewy | Feature: Prescription Verification | Category: Pet Pharmacy | Problem: Safety & legal risks | Objective: Regulatory trust.
case_16,trust,"Blinkit Fresh Produce Sorting Badges: Explicitly badged farm sourcing dates and quality checks on fresh fruit catalog listings.",Blinkit Supply Chain Brief (2025),opp_freshness_guarantee,true,Company: Blinkit | Feature: Sourcing Date Badges | Category: Fresh Produce | Problem: Shelf-life concern | Objective: Freshness transparency.
case_17,risk,"Target Drive Up Packaging & Inspection: Allowed customers to inspect drive-up items before driving away, providing immediate resolution for damaged goods.",Target Retail Operations Report (2024),opp_quality_assurance;opp_support_refund,true,Company: Target | Feature: Drive Up Inspection | Category: Drive Up Orders | Problem: Damaged items | Objective: Post-purchase confidence.
case_18,abandonment,"Nykaa Easy Return Pickup & Inspection: Provided automated home pickup for return-eligible products with real-time tracking of refund status.",Nykaa Customer Support Policy (2024),opp_support_refund,true,Company: Nykaa | Feature: Doorstep Return Pickup | Category: Personal Care | Problem: Return logistics | Objective: Dispute resolution.
