record_id,theme,summary,source,opportunity_ids,reviewed,notes
theory_01,risk,"Loss Aversion (Kahneman & Tversky): Pain of losing is psychologically twice as powerful as pleasure of gaining, making perceived quality risks in online purchases a major barrier.",Kahneman & Tversky (1979) Prospect Theory,opp_quality_assurance;opp_support_refund,true,High relevance to non-perishable/fresh category trial.
theory_02,social_proof,"Social Proof (Cialdini): People look to actions and recommendations of others when uncertain about a purchase decision in unfamiliar categories.",Cialdini (1984) Influence: Science and Practice,opp_quality_assurance;opp_category_onboarding,true,Key mechanism for high-involvement items.
theory_03,decision_fatigue,"Choice Overload & Decision Fatigue (Iyengar & Lepper): Excessive options increase cognitive effort and abandonment, requiring curated trust signals.",Iyengar & Lepper (2000) When Choice is Demotivating,opp_category_onboarding;opp_fulfillment_control,true,Reduces friction in broad catalog navigation.
theory_04,risk,"Perceived Risk Reduction Theory (Bauer): Consumers actively employ risk-reduction strategies (e.g. guarantees, reviews) when evaluating unknown online sellers or product lines.",Bauer (1960) Consumer Behavior as Risk Taking,opp_quality_assurance;opp_support_refund,true,Foundational risk model.
theory_05,trust,"Trust Signals Theory (Fukuyama/Bachmann): Explicit institutional or platform commitments build trust in high-uncertainty transactions.",Bachmann & Inkpen (2011) Understanding Institutional Trust,opp_quality_assurance;opp_freshness_guarantee,true,Directly applicable to quick commerce.
theory_06,habit,"Habit Formation & Loop Model (Wood & Neal): Repeated friction-free experiences turn deliberate shopping behaviors into automatic routine purchases.",Wood & Neal (2009) The Habitual Consumer,opp_category_onboarding;opp_fulfillment_control,true,Crucial for repeat basket retention.
theory_07,abandonment,"Switching Costs Theory (Burnham et al.): High cognitive or financial switching costs prevent customers from migrating to alternative platforms when issues arise.",Burnham et al. (2003) Consumer Switching Costs,opp_support_refund;opp_fulfillment_control,true,Explains churn following bad resolution experiences.
theory_08,risk,"Mental Accounting (Thaler): Consumers frame transactions into distinct mental accounts, treating unexpected losses (bad items) differently than planned spend.",Thaler (1985) Mental Accounting and Consumer Choice,opp_support_refund;opp_quality_assurance,true,Governs tolerance for damaged/spoiled items.
theory_09,decision_fatigue,"Default Bias & Status Quo Bias (Samuelson & Zeckhauser): Users default to familiar categories unless friction-free trial cues alter the baseline behavior.",Samuelson & Zeckhauser (1988) Status Quo Bias in Decision Making,opp_category_onboarding,true,Explains dormant category retention issues.
theory_10,trial,"Peak-End Rule (Kahneman): Customer memory of an experience is dominated by its emotional peak and its final resolution, making post-purchase support decisive.",Kahneman et al. (1993) When More Pain Is Preferred,opp_support_refund;opp_freshness_guarantee,true,Governs post-delivery customer retention.
theory_11,trust,"Availability Bias (Tversky & Kahneman): Vivid memories of single negative experiences (e.g. rotten produce) heavily distort subsequent likelihood estimates of quality.",Tversky & Kahneman (1973) Availability Heuristic,opp_freshness_guarantee;opp_quality_assurance,true,Explains outsized impact of bad initial deliveries.
theory_12,risk,"Confirmation Bias (Nickerson): Customers expecting low quality in new online categories selectively focus on negative cues unless counter-evidence is prominent.",Nickerson (1998) Confirmation Bias,opp_quality_assurance;opp_category_onboarding,true,Requires strong upfront assurance cues.
theory_13,risk,"Uncertainty Reduction Theory (Berger & Calabrese): Consumers seek explicit information and operational transparency to lower anxiety during novelty.",Berger & Calabrese (1975) Uncertainty Reduction,opp_quality_assurance;opp_fulfillment_control,true,Directly impacts category trial rates.
theory_14,trust,"Endowment Effect (Kahneman et al.): Ownership increases valuation; providing instant compensation restores sense of rightful ownership upon delivery defects.",Kahneman, Knetsch, Thaler (1990),opp_support_refund,true,Underpins instant refund expectations.
theory_15,trial,"Cognitive Dissonance Theory (Festinger): Post-purchase anxiety after buying an unfamiliar item is mitigated by immediate positive reinforcement and easy returns.",Festinger (1957) Theory of Cognitive Dissonance,opp_quality_assurance;opp_support_refund,true,Addresses buyer remorse in new categories.
theory_16,social_proof,"Bandwagon Effect (Leibenstein): Demand for goods increases when consumers perceive that others are actively adopting and trusting the product line.",Leibenstein (1950) Bandwagon, Snob, and Veblen Effects,opp_category_onboarding,true,Validates popularity badges for category trial.
theory_17,risk,"Framing Effect (Tversky & Kahneman): Presenting quality guarantees in terms of zero risk or 100% replacement alters customer risk perception positively.",Tversky & Kahneman (1981) Framing of Decisions,opp_quality_assurance;opp_freshness_guarantee,true,Improves product page trial conversions.
theory_18,habit,"Sunk Cost Fallacy (Arkes & Blumer): Subscription or loyalty membership investments increase willingness to try secondary categories within the same app.",Arkes & Blumer (1985) Psychology of Sunk Cost,opp_category_onboarding;opp_fulfillment_control,true,Relevant for quick commerce loyalty programs.
theory_19,trust,"Signaling Theory (Spence): High-quality sellers use costly or explicit signals (e.g., freshness guarantees) that low-quality sellers cannot credibly match.",Spence (1973) Job Market Signaling,opp_freshness_guarantee;opp_quality_assurance,true,Differentiates quick commerce platforms.
theory_20,decision_fatigue,"Hick-Hyman Law: Time to make a decision increases logarithmically with the number of options, favoring structured category presentation.",Hick (1952) On the Rate of Gain of Information,opp_category_onboarding,true,Improves navigation and category entry speed.
theory_21,risk,"Scarcity Principle (Cialdini): Perceived limited availability of fresh batch items increases perceived value and urgency of purchase.",Cialdini (2009) Influence,opp_freshness_guarantee,true,Boosts immediate trial engagement.
theory_22,trust,"Initial Trust Formation Model (McKnight et al.): Initial trust in an e-commerce platform relies on structural assurances (guarantees) and perceived site reputation.",McKnight et al. (2002) Initial Trust in E-Commerce,opp_quality_assurance;opp_support_refund,true,Essential for first-time shoppers.
theory_23,repeat_purchase,"Expectation-Confirmation Theory (Bhattacherjee): Re-purchase intention is governed by whether post-purchase performance matches pre-purchase expectations.",Bhattacherjee (2001) Understanding Information Systems Continuance,opp_fulfillment_control;opp_freshness_guarantee,true,Foundation of repeat purchase loyalty.
theory_24,risk,"Hyperbolic Discounting (Laibson): Customers overvalue immediate delivery gratification, making fulfillment delays or errors disproportionately painful.",Laibson (1997) Golden Eggs and Hyperbolic Discounting,opp_fulfillment_control,true,Explains 10-minute delivery urgency dynamics.
theory_25,social_proof,"Authority Bias (Milgram): Recommendations from certified experts or quality badges significantly reduce purchase hesitation for sensitive items.",Milgram (1963) Behavioral Study of Obedience,opp_quality_assurance,true,Applies to personal care and baby products.
